Contenido,Autor,User_Name,Fecha_Posteo,Favs,Rt,Localizacion
#EssenceFest Throwback: @TheRealLRaye1 @rolandsmartin Mix It Up At #Essence. ▶️ WATCH the 2021 ESSENCE Festival of Culture “Live Loud” Virtual Experience on https://t.co/OfhkWZqS4q June 25-27 and July 2-4. #Essence #Coke #cocacola #BlackLove #blackexcellence https://t.co/nFNqrIImKN,rolandsmartin,rolandsmartin,Fri Jun 25 00:34:03 +0000 2021,6,1,"Washington, D.C."
#EssenceFest #Throwback: @IAmSteveHarvey @RolandSMartin 'Almost Turned The Festival Out' 👉🏾▶️ WATCH the 2021 ESSENCE Festival of Culture “Live Loud” Virtual Experience on https://t.co/OfhkWZqS4q June 25-27 and July 2-4. #Essence #Coke #cocacola #BlackLove #blackexcellence https://t.co/JvcVQ3gCle,rolandsmartin,rolandsmartin,Fri Jun 25 00:27:46 +0000 2021,4,3,"Washington, D.C."
"21.06.25 🤗
20.06.25 | 
@BOGUMMY's summer vacation, ""Full of fresh charm.""

1 year ago . . .  . . ✍️  

 #박보검 #ParkBoGum #パクボゴム 
#朴寶劍 #พัคโบกอม #CocaCola
#WeWillWaitBogum #210625pbgfam

https://t.co/Nm1BOVvUaw https://t.co/nfbnF3s44o https://t.co/iPl1RauxXp",박보검 ParkBoGum FAMILY 🌍 D-309⚓,parkbogumfamiIy,Fri Jun 25 00:23:39 +0000 2021,5,1,Pearl of the Orient  Seas 
"ShoutOut #Anomaly Thursday:
Can I, Renee Ashley Baker, get a Corporate Sponsor ? Can one Corporation  please Step Forward !!! #CocaCola ?
#HowardHughesCorporation ?
#NeimanMarcus ? #PostToasties ?

(#AP #Reuters #NYTimes #WashPost #HuffPost #WSJ #abcnews  ) https://t.co/urYeQF8o0d",Renee Ashley Baker,ReneeEurope,Fri Jun 25 00:20:49 +0000 2021,0,0,Paris France
I'm out of cola what do I do now ;( sponsor me #cola #coke #CocaCola #sad #empty,mariewongg,mariewongg,Fri Jun 25 00:20:41 +0000 2021,2,0,She/Her
"RT @RebeccaH2030: Massive consumer goods companies like #CocaCola, #nestle and #Pepsi, must reject unnecessary throwaway plastics. these co…",SuzanneJones💙,Suzanne89571041,Fri Jun 25 00:19:56 +0000 2021,0,70,
RT @news_ntd: A group of #CocaCola shareholders is threatening legal action over the company’s diversity policy. They say the policy might…,𝙏𝙝𝙖𝙩 𝙏𝙬𝙞𝙩𝙩𝙖 𝙃𝙞𝙩𝙩𝙖,hitta_that,Fri Jun 25 00:16:27 +0000 2021,0,12,
RT @ODOGWUFILMMAKER: Here’s a new flyer design I made #cocacola #coke #branding #DigitalMarketing @CocaCola @CocaColaCo @DietCoke @DietCoke…,Devmax,Chidux15,Thu Jun 24 23:53:06 +0000 2021,0,1,Nigeria
"RT @KnotSimple: Coca Cola 75th Anniversary Belt Buckle https://t.co/TqTe8p8T7b via @Etsy

#FreeShipping On All Items Store Wide

#Coke #Coc…",KnotSimpleBoutique,KnotSimple,Thu Jun 24 23:52:29 +0000 2021,0,1,"Raleigh, NC"
RT @news_ntd: A group of #CocaCola shareholders is threatening legal action over the company’s diversity policy. They say the policy might…,Independent Lawyer,AttorneyMcGill,Thu Jun 24 23:41:44 +0000 2021,0,12,East Coast
RT @news_ntd: A group of #CocaCola shareholders is threatening legal action over the company’s diversity policy. They say the policy might…,JohnARead,JohnARead,Thu Jun 24 23:36:35 +0000 2021,0,12,England
RT @news_ntd: A group of #CocaCola shareholders is threatening legal action over the company’s diversity policy. They say the policy might…,indigoctarine,indigoctarine,Thu Jun 24 23:35:23 +0000 2021,0,12,Across the Twitterverse
RT @news_ntd: A group of #CocaCola shareholders is threatening legal action over the company’s diversity policy. They say the policy might…,Catherine McBride,CeeMacBee,Thu Jun 24 23:33:10 +0000 2021,0,12,"London, England"
So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @lilrara37 #poshmark #fashion #style #shopmycloset #basillola #chanel #cocacola: https://t.co/6SUbQ23Sc5 https://t.co/xvmLqOP8cf,Candycoco,Candycoco20,Thu Jun 24 23:30:18 +0000 2021,0,0,Va
So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @LesleyLezkoz1 #poshmark #fashion #style #shopmycloset #cocacola #tonyhawk #laurenralphlauren: https://t.co/Xv8Dwknx3F https://t.co/4ADgSkMjVd,Birdie Up Golf,BirdieUpGolf,Thu Jun 24 23:28:35 +0000 2021,0,0,"Bay Area, California"
"29 memes only graphic designers will understand:
https://t.co/ZivYLgxpJ1

#Ronaldo #CocaCola #Photoshop https://t.co/IFfW3pBI1r",Digital Synopsis,DigitalSynopsis,Thu Jun 24 23:24:30 +0000 2021,0,0,
"A group of #CocaCola shareholders is threatening legal action over the company’s diversity policy. They say the policy might actually be illegal and would require contracted law firms to violate anti-#discrimination laws.

https://t.co/KAoDqsXq9x",NTD News,news_ntd,Thu Jun 24 23:20:01 +0000 2021,41,12,"New York, NY"
"I’m just not so sure allowing athletes to earn money from their name, likeness or image (when at same time) the athletes are being forbidden to seek deals with schools’/coaches’ corporate folks will be welcomed by the U.S. Supreme Court. Re: #kroger #nike #cocacola #centralbank https://t.co/28NnvYEKAO",Oscar Combs,wildcatnews,Thu Jun 24 23:02:34 +0000 2021,3,0,"Lexington, Kentucky"
Check out Vintage Coca Cola Things Go Better With Coke Set of 4 Glasses Libbey 1960 1969 #CocaCola https://t.co/FZL6D8Rmhi via @eBay #ROCteam,simplyshay,simplyshay,Thu Jun 24 22:44:14 +0000 2021,1,2,
"RT @amsickofit: Seems like a lot of the #ads during #TonightVMTV were made for an #African audience. 
The anti- #Man #ad from Old Spice not…",Post Your Ads,PostYourAdsBiz,Thu Jun 24 22:28:50 +0000 2021,0,1,
"RT @CottageCindy: Check out Vtg. 1973 Coca Cola Serving Tray Flapper Girl 1925 Coke Advertisement 13"" x 10""  https://t.co/V4A8PZOt45 via @e…",lizhenze,vernhenze,Thu Jun 24 22:05:39 +0000 2021,0,16,"Pinellas Park, FL"
"Back in 2015, everyone wanted to get a #CocaCola  bottle with their name on it! Coca Cola knew that each buyer deserved a personalized experience. Keep in mind these 3 parts of CX &amp; you’ll be getting similar results: 
The buyer’s journey, brand touch points, and the environment.",Virtual Worker Now,virtualworkernw,Thu Jun 24 22:04:07 +0000 2021,0,0,"Los Angeles , CA"
"Seems like a lot of the #ads during #TonightVMTV were made for an #African audience. 
The anti- #Man #ad from Old Spice not doing anyone any favours either. 
#Irish audiences need to be shown a bit more #respect
ps #CocaCola is pure piss","Dr D O'Brien (Only a PhD, sorry)",amsickofit,Thu Jun 24 22:03:02 +0000 2021,1,1,"Dublin, Paris & London (OUaT)"
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",greenBlt Intl Bld Co,gbibuildingco,Thu Jun 24 21:56:40 +0000 2021,0,32,USA - Worldwide
RT @rolandsmartin: 👀#TBT to 2018 #EssenceFest with @IAmReginaBelle. Fam it's almost time. WATCH the 2021 #EssenceFest of Culture “Live Loud…,Christy Henry,Christy48079409,Thu Jun 24 21:40:00 +0000 2021,0,2,
"Argentina national team trolling cristiano ronaldo 😭😭😭
#CocaCola https://t.co/UynRqCwZWs",Arnav Raj,wtfarnav,Thu Jun 24 21:29:54 +0000 2021,2,0,
RT @rolandsmartin: 👀#TBT to 2018 #EssenceFest with @IAmReginaBelle. Fam it's almost time. WATCH the 2021 #EssenceFest of Culture “Live Loud…,seue,seue14,Thu Jun 24 21:22:01 +0000 2021,0,2,
👀#TBT to 2018 #EssenceFest with @IAmReginaBelle. Fam it's almost time. WATCH the 2021 #EssenceFest of Culture “Live Loud” Virtual Experience Presented by #CocaCola LIVE on https://t.co/H8t4UYzKNL June 25-27 and July 2-4. #Coke #cocacola #BlackLove #blackexcellence #ad https://t.co/sknPdhfNBW,rolandsmartin,rolandsmartin,Thu Jun 24 21:18:10 +0000 2021,8,2,"Washington, D.C."
"RT @SmittyD9199: Coca Cola Santa Coke Heavy Mug Glass Stein Vending Machine #Vintage #Christmas | #eBay #cocacola 
https://t.co/d7bob6LJMq…",Freedom Calling,CivilWarEscape,Thu Jun 24 21:13:15 +0000 2021,0,1,"New England, USA"
#CocaCola is/are shit https://t.co/ccJR4FPiiJ,Witch Supporter General ⓥ,cait_hatstand,Thu Jun 24 21:03:11 +0000 2021,2,0,West Midlands
RT @irajkarimi16: @gate_io @OneLedgerTech @mtanchezm If i had to choose my last meal on earth before flying to the moon ... it would be a #…,iraj karimi,irajkarimi16,Thu Jun 24 20:59:10 +0000 2021,0,1,
RT @tulipshare: @_benie We want Coca-Cola to produce 100% of its plastic bottles from recycled material 🥤 Find out more about our new campa…,Ben™ 🇰🇪 ✪,_benie,Thu Jun 24 20:58:07 +0000 2021,0,1,"Nakuru, Kenya"
"@gate_io @OneLedgerTech @mtanchezm If i had to choose my last meal on earth before flying to the moon ... it would be a #hotdoge (    @HotDogeTokenBSC)  for sure🚀🚀🚀🚀 Not a #CocaCola

@hotdogebsc
#Ronaldo
#hotdog
#hotdogearmy
#NFTartists
#DeFi
#cryptocurrencies
#CryptoNews",iraj karimi,irajkarimi16,Thu Jun 24 20:57:56 +0000 2021,4,1,
RT @kamrana65089752: @gate_io @OneLedgerTech @mtanchezm If i had to choose my last meal on earth before flying to the moon ... it would be…,hamed,hamed59341431,Thu Jun 24 20:53:44 +0000 2021,0,2,
RT @kamrana65089752: @gate_io @OneLedgerTech @mtanchezm If i had to choose my last meal on earth before flying to the moon ... it would be…,kamran ahmadi,kamrana65089752,Thu Jun 24 20:42:06 +0000 2021,0,2,
"@gate_io @OneLedgerTech @mtanchezm If i had to choose my last meal on earth before flying to the moon ... it would be a #hotdoge (    @HotDogeTokenBSC)  for sure🚀🚀🚀🚀 Not a #CocaCola

@hotdogebsc
#Ronaldo
#hotdog
#hotdogearmy
#NFTartists
#DeFi
#cryptocurrencies
#CryptoNews",kamran ahmadi,kamrana65089752,Thu Jun 24 20:38:37 +0000 2021,3,2,
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",Camilo,Healthyboy777,Thu Jun 24 20:19:46 +0000 2021,0,32,Ukraine
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",anna,anna02491155,Thu Jun 24 20:18:19 +0000 2021,0,32,
"RT @RebeccaH2030: Massive consumer goods companies like #CocaCola, #nestle and #Pepsi, must reject unnecessary throwaway plastics. these co…",Camilo,Healthyboy777,Thu Jun 24 20:15:25 +0000 2021,0,70,Ukraine
"In Japan, #CocaCola 🥤 has released a cool #Michinoku design featuring #Aomori, #Akita and #Iwate designs. 🏯 It’s only available in the #Tohoku region!
#neat #cool #collectible

https://t.co/wBEyyqTs0W",Consulate-General of Japan Calgary,CGJCalgary,Thu Jun 24 20:02:00 +0000 2021,0,0,"Calgary, Alberta"
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",José luis Giménez Pérez,gipe1624,Thu Jun 24 19:59:27 +0000 2021,0,32,Quilmes
"Coca Cola Santa Coke Heavy Mug Glass Stein Vending Machine #Vintage #Christmas | #eBay #cocacola 
https://t.co/d7bob6LJMq
(Tweeted via https://t.co/1twR47G8Q9) https://t.co/0ACkVDp0fC",Darryl Smith,SmittyD9199,Thu Jun 24 19:49:05 +0000 2021,1,1,"Buffalo, NY"
"Fans throw bottle of #CocaCola at #Ronaldo (PHOTO) | 
https://t.co/z1AgS6ROQh https://t.co/TsnyYftk0W",NEWS.am Sport,NEWSamSport,Thu Jun 24 19:48:43 +0000 2021,0,0,Armenia
"Coca Cola Bottle Shape #CocaCola #thursdaymorning
https://t.co/ajNnP5eyFF",MixMemorabilia,MixMemorabilia,Thu Jun 24 19:37:40 +0000 2021,0,0,Right Left Up Down In The Mix 
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",Weltraum Rob☂️,weltraum_rob,Thu Jun 24 19:30:45 +0000 2021,0,32,
"RT @iShahidHameed: A Cute little girl selling green tea (Kehwa) at #Murree Mall Road.. 

#CocaCola #cancelboardexams2021 #NCOC #SarfarazAhm…",Dr Ahmed Malik,malikahmed001,Thu Jun 24 19:21:28 +0000 2021,0,32,Lahore
"RT @iShahidHameed: A Cute little girl selling green tea (Kehwa) at #Murree Mall Road.. 

#CocaCola #cancelboardexams2021 #NCOC #SarfarazAhm…",Yasmin Arshad,IamYasminArshad,Thu Jun 24 19:19:47 +0000 2021,0,32,DGK Pakistan 
Your next #Avengers Tower set could be made of #CocaCola bottles if #LEGO figures out their production process https://t.co/0u2CTL2dnz,michael t. colorge,CAM2Go,Thu Jun 24 19:00:43 +0000 2021,0,0,"Los Angeles, CA"
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",🌹🍀Serious???,masterprogram1,Thu Jun 24 19:00:30 +0000 2021,0,32,Eindhoven
"RT @RebeccaH2030: Massive consumer goods companies like #CocaCola, #nestle and #Pepsi, must reject unnecessary throwaway plastics. these co…",Mariëtte Wonder,wonderbakker,Thu Jun 24 18:55:35 +0000 2021,0,70,"Beverwijk, Nederland"
"RT @Puds_Army: My awesome mum got these Coca Cola lip balms for them 🥤
Aren’t they cute! ❤️🤎🥰🤎❤️
#smartdoll #CocaCola https://t.co/eefr2GxK…",Neko,NYADraws15,Thu Jun 24 18:55:02 +0000 2021,0,13,
"RT @RebeccaH2030: Massive consumer goods companies like #CocaCola, #nestle and #Pepsi, must reject unnecessary throwaway plastics. these co…",Cllr Karen Douglas #BeTheChange 🌈,KarenDouglas_NI,Thu Jun 24 18:46:53 +0000 2021,0,70,Northern Ireland
"Hats off to this man ...very creative 👏👏👏🤣🤣🤣🤣👌👌🔥🔥
#CocaCola #cokelovers https://t.co/oCaEgzKXWp",Uswa Aziz,UswaAziz1,Thu Jun 24 18:46:14 +0000 2021,0,0,"Karachi, Pakistan"
👀 @dnice and yours truly on the #Coke stage at the 2018 #essencefest! The 2021 #Essence Fest of Culture “Live Loud” Virtual Experience Presented by #CocaCola will stream on  https://t.co/mMF0NdJxcA June 25-27 &amp; July 2-4.  #RolandMartin #Coke #cocacola #BlackLove #blackexcellence https://t.co/v7wmdgSzXN,rolandsmartin,rolandsmartin,Thu Jun 24 18:45:35 +0000 2021,9,0,"Washington, D.C."
@SkyNews Does this means now I can go to Madeira and shit on #Ronaldo's statue while drinking #CocaCola,Is There Any Need!,LondonMond,Thu Jun 24 18:44:57 +0000 2021,0,0,United States
"#Breaking - Coca Cola labels gone wrong. @TheIndependent 

#Oigetit #CocaCola #Labels 

Source:

Reliability: 75% | This article has been fact-checked by Oigetit https://t.co/05tsaE1H4W",Oigetit Philippines,oigetit_ph,Thu Jun 24 18:38:54 +0000 2021,0,0,Republic of the Philippines
"Imagine someone watching CR7's press conference of the Portugal 3-0 Hungary, then sips Coke the exact moment Ronaldo refuses coke. #Ronaldo #CocaCola",•Hamza•,Hamzaakd_,Thu Jun 24 18:30:27 +0000 2021,0,0,Wherever you want me to be
"RT @DelyMinati: #24junefaizabadprotest
#CocaCola Are coming for lahore protester this is come from @komallsalman https://t.co/AfNr6AZJWO",Raja Rizwan,RajaRiz55083198,Thu Jun 24 18:23:45 +0000 2021,0,22,"Islamabad, Pakistan"
"In-house pallet production – a successful case of cost management by #CocaCola 

Coca-Cola Beverages Africa  innovated  Pallet cost optimisation project with an aim of reducing pallet unit cost by 45% &amp; delivering an annual saving of about US$100,000. https://t.co/3hC7fG7h9e https://t.co/C8iGqlNa9C",The Newz Post,Newzug,Thu Jun 24 18:23:13 +0000 2021,0,0,"Kampala, Uganda"
"RT @CottageCindy: Check out Vtg. 1973 Coca Cola Serving Tray Flapper Girl 1925 Coke Advertisement 13"" x 10""  https://t.co/V4A8PZOt45 via @e…",Gemma Lawrence,TudorTweep,Thu Jun 24 18:11:46 +0000 2021,0,16,"Wild, windy, wonderful Wales"
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",R Ware🌎(hates veganism & loves Greta Thunberg),RWare7,Thu Jun 24 18:09:52 +0000 2021,0,32,"Virginia, United States"
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",mahendra,isumahendra,Thu Jun 24 18:04:33 +0000 2021,0,32,patna
RT @Abhesive: #CocaCola owner after seeing #CristianoRonaldo reaction. https://t.co/mwrpSElqKI,imamvines,imamvines,Thu Jun 24 18:03:55 +0000 2021,0,71,"Mumbai, India"
"RT @RebeccaH2030: Massive consumer goods companies like #CocaCola, #nestle and #Pepsi, must reject unnecessary throwaway plastics. these co…",Siomara 🇧🇷,MaradaS51636112,Thu Jun 24 17:53:59 +0000 2021,0,70,Belo Horizonte - Minas Gerias 
"RT @CAIRNational: CAIR Hate Watch: New @CocaCola personalized label tool bans ‘#BlackLivesMatter’ and ‘#Palestine’
https://t.co/BhCKwueTpE…",CAIR-Missouri,CairMissouri,Thu Jun 24 17:53:04 +0000 2021,0,7,Missouri 
When #CocaCola is your favorite brand but you're also a fan Christiano Ronaldo #CR7 https://t.co/VBWKkcfjP0,LØRD JAIRUS,Jairus_Nat,Thu Jun 24 17:52:40 +0000 2021,1,0,Uganda
"RT @CAIRNational: CAIR Hate Watch: New @CocaCola personalized label tool bans ‘#BlackLivesMatter’ and ‘#Palestine’
https://t.co/BhCKwueTpE…",ScorpionGoddess 😷😷🦂♣️ I’m Vaxxed and I’m Proud,DJSerQet,Thu Jun 24 17:41:36 +0000 2021,0,7,
RT @rolandsmartin: Check out @SymoneDSanders at the 2018 #EssenceFest. Fam we're getting ready for the 2021 #EssenceFest of Culture “Live L…,Sacha Positive w/a Side Eye,SachaSidney,Thu Jun 24 17:31:12 +0000 2021,0,1,DMV
"RT @CAIRNational: CAIR Hate Watch: New @CocaCola personalized label tool bans ‘#BlackLivesMatter’ and ‘#Palestine’
https://t.co/BhCKwueTpE…",Hussam Ayloush,HussamA,Thu Jun 24 17:30:27 +0000 2021,0,7,Los Angeles Area
Check out @SymoneDSanders at the 2018 #EssenceFest. Fam we're getting ready for the 2021 #EssenceFest of Culture “Live Loud” Virtual Experience Presented by #CocaCola. 😀 Watch live on https://t.co/0t9Ud1oeaC June 25-27 and July 2-4. #Coke #BlackLove #blackexcellence #ad https://t.co/JuNQdnyMN3,rolandsmartin,rolandsmartin,Thu Jun 24 17:30:25 +0000 2021,10,1,"Washington, D.C."
"RT @CAIRNational: CAIR Hate Watch: New @CocaCola personalized label tool bans ‘#BlackLivesMatter’ and ‘#Palestine’
https://t.co/BhCKwueTpE…",Ruksana Khan,Ruksana04385766,Thu Jun 24 17:28:50 +0000 2021,0,7,
"RT @CAIRNational: CAIR Hate Watch: New @CocaCola personalized label tool bans ‘#BlackLivesMatter’ and ‘#Palestine’
https://t.co/BhCKwueTpE…",nordin pumbaya,ranaoboy,Thu Jun 24 17:24:10 +0000 2021,0,7,Middle East
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",theInvestor_,PrakiSingh,Thu Jun 24 17:23:11 +0000 2021,0,32,भारत
"RT @CAIRNational: CAIR Hate Watch: New @CocaCola personalized label tool bans ‘#BlackLivesMatter’ and ‘#Palestine’
https://t.co/BhCKwueTpE…",hirak-kumar mukhopadhyay,hk_mook,Thu Jun 24 17:21:53 +0000 2021,0,7,Philadelphia/Delaware 
"CAIR Hate Watch: New @CocaCola personalized label tool bans ‘#BlackLivesMatter’ and ‘#Palestine’
https://t.co/BhCKwueTpE
#CocaCola #Israel #blm #FreePalestine #SaveSheikhJarrah @AMPalestine",CAIR National,CAIRNational,Thu Jun 24 17:21:02 +0000 2021,6,7,"Washington, D.C."
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",Ahmet Albayrak,Aramzede,Thu Jun 24 17:17:33 +0000 2021,0,32,
"RT @RebeccaH2030: Massive consumer goods companies like #CocaCola, #nestle and #Pepsi, must reject unnecessary throwaway plastics. these co…",Arun Kumar JD,ARUN__JD,Thu Jun 24 17:16:13 +0000 2021,0,70,"Bathinda, India"
"Celebrities rock the markets! We've seen @elonmusk with #Bitcoin, @wolfofwallst with #GameStop and now #CristianoRonaldo with #CocaCola.

Can this make investors profit or will it continue to inflict losses on those caught on the wrong side?

More at: https://t.co/E6q7WeB1e8 https://t.co/8fl86ff9U2",ZuluTrade,ZuluTrade,Thu Jun 24 17:14:31 +0000 2021,1,0,Global
"#Euro2020 officials will STOP placing bottles of #Heineken in front of Muslim players after devout Man United star #PaulPogba moved the sponsor's drink out of the way following #CristianoRonaldo's #CocaCola snub
https://t.co/EpUXKHhLp4
#Sports #News",Shinil Payamal,shinils,Thu Jun 24 17:11:22 +0000 2021,0,0,"Pune, India"
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",Andrey Sarmento,AndreySarmento,Thu Jun 24 17:09:29 +0000 2021,0,32,"Somewhere in Paraná, Brazil"
"RT @RebeccaH2030: #CocaCola lost $4 billion in market value after soccer star @Cristiano Ronaldo suggested people drink water instead. 
#Ti…",🇮🇳 अजीत অজীত Ajit,the_ajitsingh,Thu Jun 24 16:55:19 +0000 2021,0,32,Delhi NCR
